"NMF1"	"NMF2"	"NMF3"	"NMF4"	"NMF5"	"NMF6"	"NMF7"	"NMF8"	"NMF9"	"NMF10"	"NMF11"	"NMF12"	"NMF13"
"ABHD5_FORALL_041"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_042"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_052"	4.07379789557976	0.757232980740303	-5.39023086912975	-1.29451747416636	-0.31373347287139	1.03732493393173	-3.21788282230513	1.78626761285969	2.93659181741329	2.75669406722538	-0.993012901012209	-1.97757559087402	0.259400727422732
"ABHD5_FORALL_054"	0.583363816570004	-0.216003443660483	-4.26697629843013	-2.78114669033444	-0.777104165954762	2.18459362146901	-0.131393600462083	0.846933496257531	3.09150954791183	1.57508587641938	-0.337979784671062	-1.5529817506014	1.03180721919087
"ABHD5_FORALL_071"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_073"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_076"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_085"	1.21462510763703	0.56838608980037	-5.12040850873234	-1.92168857349973	0.41898372955223	1.98053622732422	-1.82325343004929	1.67634327482435	3.53897148386667	1.52161193977387	-1.39855622168999	-2.11407937938676	1.3138920504658
"ABHD5_FORALL_086"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_092"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_093"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_094"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
"ABHD5_FORALL_096"	0.0704660398019112	0.0754865083767094	-3.27595728119847	-2.41219283301169	0.310069523286576	1.56195976987993	-0.148884380247518	1.03768565693234	3.82585158034752	0.818048061395557	-2.35681301971775	-0.775124313353454	1.36322468903341
