"V1"	"V2"	"complex"	"location_V1"	"location_V2"
"119"	"PSMD9"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"120"	"PSMD9"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"121"	"PSMD9"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"122"	"PSMD9"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"123"	"PSMD9"	"PSMD8"	"PA700 complex"	"Cytosol"	"Cytosol"
"124"	"PSMD9"	"PSMD7"	"PA700 complex"	"Cytosol"	"Cytosol"
"125"	"PSMD9"	"PSMD4"	"PA700 complex"	"Cytosol"	"Cytosol"
"126"	"PSMD9"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"127"	"PSMD9"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"128"	"PSMD9"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"129"	"PSMD9"	"PSMD2"	"PA700 complex"	"Cytosol"	"Cytosol"
"130"	"PSMD9"	"PSMD6"	"PA700 complex"	"Cytosol"	"Cytosol"
"131"	"PSMD9"	"PSMD5"	"PA700 complex"	"Cytosol"	"Cytosol"
"132"	"PSMD9"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"133"	"PSMD9"	"PSMD13"	"PA700 complex"	"Cytosol"	"Cytosol"
"134"	"PSMD3"	"PSMD14"	"PA700 complex"	"Cytosol"	"Cytosol"
"135"	"PSMD14"	"PSMD10"	"PA700 complex"	"Cytosol"	"Cytosol"
"136"	"PSMD14"	"PSMC3"	"PA700 complex"	"Cytosol"	"Cytosol"
"137"	"PSMD14"	"PSMC2"	"PA700 complex"	"Cytosol"	"Cytosol"
"138"	"PSMD14"	"PSMC4"	"PA700 complex"	"Cytosol"	"Cytosol"
"139"	"PSMD8"	"PSMD14"	"PA700 complex"	"Cytosol"	"Cytosol"
"140"	"PSMD7"	"PSMD14"	"PA700 complex"	"Cytosol"	"Cytosol"
"141"	"PSMD4"	"PSMD14"	"PA700 complex"	"Cytosol"	"Cytosol"
"142"	"PSMD14"	"PSMC1"	"PA700 complex"	"Cytosol"	"Cytosol"
"143"	"PSMD14"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
