"V1"	"V2"	"complex"	"location_V1"	"location_V2"
"35962"	"RALY"	"LSM2"	"C complex spliceosome"	"Nuclear"	NA
"35963"	"RALY"	"PPIL1"	"C complex spliceosome"	"Nuclear"	"Cytosol"
"35964"	"RBM8A"	"RALY"	"C complex spliceosome"	NA	"Nuclear"
"35987"	"PLRG1"	"HSPA8"	"CDC5L core complex"	"Nuclear"	"Cytosol"
"35988"	"PLRG1"	"GCN1"	"CDC5L core complex"	"Nuclear"	"Cytosol"
"35991"	"HSPA8"	"BCAS2"	"CDC5L core complex"	"Cytosol"	"Nuclear"
"35992"	"GCN1"	"BCAS2"	"CDC5L core complex"	"Cytosol"	"Nuclear"
"35995"	"HSPA8"	"GCN1"	"CDC5L core complex"	"Cytosol"	"Cytosol"
"35996"	"HSPA8"	"CDC5L"	"CDC5L core complex"	"Cytosol"	"Nuclear"
"35997"	"PRPF19"	"HSPA8"	"CDC5L core complex"	"Nuclear"	"Cytosol"
"35998"	"GCN1"	"CDC5L"	"CDC5L core complex"	"Cytosol"	"Nuclear"
"35999"	"PRPF19"	"GCN1"	"CDC5L core complex"	"Nuclear"	"Cytosol"
"36001"	"SFI1"	"PPM1D"	"CDC5L complex"	NA	"Nuclear"
"36002"	"SFI1"	"PLRG1"	"CDC5L complex"	NA	"Nuclear"
"36003"	"SFI1"	"SF3B1"	"CDC5L complex"	NA	"Nuclear"
"36004"	"SFI1"	"BCAS2"	"CDC5L complex"	NA	"Nuclear"
"36005"	"SNRPA"	"SFI1"	"CDC5L complex"	"Nuclear"	NA
"36006"	"SNRPA1"	"SFI1"	"CDC5L complex"	"Nuclear"	NA
"36007"	"SFI1"	"HSPA8"	"CDC5L complex"	NA	"Cytosol"
"36008"	"TOP2A"	"SFI1"	"CDC5L complex"	"Nuclear"	NA
"36009"	"TCF4"	"SFI1"	"CDC5L complex"	NA	NA
"36010"	"SFPQ"	"SFI1"	"CDC5L complex"	NA	NA
"36011"	"SFI1"	"RBMX"	"CDC5L complex"	NA	NA
"36012"	"SFI1"	"PPP1CA"	"CDC5L complex"	NA	NA
"36013"	"SNRPD1"	"SFI1"	"CDC5L complex"	"Nuclear"	NA
"36014"	"SNRPD2"	"SFI1"	"CDC5L complex"	"Nuclear"	NA
"36015"	"SNRPD3"	"SFI1"	"CDC5L complex"	"Nuclear"	NA
"36016"	"SFI1"	"PRKDC"	"CDC5L complex"	NA	"Nuclear"
"36017"	"SRSF2"	"SFI1"	"CDC5L complex"	"Nuclear"	NA
"36018"	"SRSF1"	"SFI1"	"CDC5L complex"	"Nuclear"	NA
"36019"	"SFI1"	"ILF2"	"CDC5L complex"	NA	"Nuclear"
"36020"	"SFI1"	"SF3B2"	"CDC5L complex"	NA	"Nuclear"
"36021"	"SFI1"	"DYNC1H1"	"CDC5L complex"	NA	"Cytosol"
"36022"	"SFI1"	"SF3B4"	"CDC5L complex"	NA	"Nuclear"
"36023"	"SFI1"	"BZW1"	"CDC5L complex"	NA	"Cytosol"
"36024"	"SRRM1"	"SFI1"	"CDC5L complex"	"Nuclear"	NA
"36025"	"SFI1"	"GCN1"	"CDC5L complex"	NA	"Cytosol"
"36026"	"SFI1"	"CDC5L"	"CDC5L complex"	NA	"Nuclear"
"36027"	"SFI1"	"CWC15"	"CDC5L complex"	NA	"Nuclear"
"36028"	"SFI1"	"PRPF19"	"CDC5L complex"	NA	"Nuclear"
"36029"	"SFI1"	"SCAF8"	"CDC5L complex"	NA	"Nuclear"
"36030"	"PPM1D"	"PLRG1"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36031"	"SF3B1"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36032"	"PPM1D"	"BCAS2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36033"	"SNRPA"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36034"	"SNRPA1"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36035"	"PPM1D"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36036"	"TOP2A"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36037"	"TCF4"	"PPM1D"	"CDC5L complex"	NA	"Nuclear"
"36038"	"SFPQ"	"PPM1D"	"CDC5L complex"	NA	"Nuclear"
"36039"	"RBMX"	"PPM1D"	"CDC5L complex"	NA	"Nuclear"
"36040"	"PPP1CA"	"PPM1D"	"CDC5L complex"	NA	"Nuclear"
"36041"	"SNRPD1"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36042"	"SNRPD2"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36043"	"SNRPD3"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36044"	"PRKDC"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36045"	"SRSF2"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36046"	"SRSF1"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36047"	"PPM1D"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36048"	"SF3B2"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36049"	"PPM1D"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36050"	"SF3B4"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36051"	"PPM1D"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36052"	"SRRM1"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36053"	"PPM1D"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36054"	"PPM1D"	"CDC5L"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36055"	"PPM1D"	"CWC15"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36056"	"PRPF19"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36057"	"SCAF8"	"PPM1D"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36063"	"TOP2A"	"PLRG1"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36064"	"TCF4"	"PLRG1"	"CDC5L complex"	NA	"Nuclear"
"36065"	"SFPQ"	"PLRG1"	"CDC5L complex"	NA	"Nuclear"
"36067"	"PPP1CA"	"PLRG1"	"CDC5L complex"	NA	"Nuclear"
"36071"	"PRKDC"	"PLRG1"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36074"	"PLRG1"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36076"	"PLRG1"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36078"	"PLRG1"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36084"	"SCAF8"	"PLRG1"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36088"	"SF3B1"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36089"	"TOP2A"	"SF3B1"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36090"	"TCF4"	"SF3B1"	"CDC5L complex"	NA	"Nuclear"
"36091"	"SFPQ"	"SF3B1"	"CDC5L complex"	NA	"Nuclear"
"36093"	"SF3B1"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36097"	"SF3B1"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36100"	"SF3B1"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36102"	"SF3B1"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36104"	"SF3B1"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36106"	"SF3B1"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36110"	"SF3B1"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36114"	"TOP2A"	"BCAS2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36115"	"TCF4"	"BCAS2"	"CDC5L complex"	NA	"Nuclear"
"36116"	"SFPQ"	"BCAS2"	"CDC5L complex"	NA	"Nuclear"
"36117"	"RBMX"	"BCAS2"	"CDC5L complex"	NA	"Nuclear"
"36118"	"PPP1CA"	"BCAS2"	"CDC5L complex"	NA	"Nuclear"
"36122"	"PRKDC"	"BCAS2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36125"	"ILF2"	"BCAS2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36127"	"DYNC1H1"	"BCAS2"	"CDC5L complex"	"Cytosol"	"Nuclear"
"36129"	"BZW1"	"BCAS2"	"CDC5L complex"	"Cytosol"	"Nuclear"
"36135"	"SCAF8"	"BCAS2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36137"	"SNRPA"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36138"	"TOP2A"	"SNRPA"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36139"	"TCF4"	"SNRPA"	"CDC5L complex"	NA	"Nuclear"
"36141"	"SNRPA"	"RBMX"	"CDC5L complex"	"Nuclear"	NA
"36142"	"SNRPA"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36146"	"SNRPA"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36149"	"SNRPA"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36151"	"SNRPA"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36153"	"SNRPA"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36155"	"SNRPA"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36159"	"SNRPA"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36160"	"SNRPA1"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36161"	"TOP2A"	"SNRPA1"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36162"	"TCF4"	"SNRPA1"	"CDC5L complex"	NA	"Nuclear"
"36163"	"SNRPA1"	"SFPQ"	"CDC5L complex"	"Nuclear"	NA
"36165"	"SNRPA1"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36169"	"SNRPA1"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36172"	"SNRPA1"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36174"	"SNRPA1"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36176"	"SNRPA1"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36178"	"SNRPA1"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36182"	"SNRPA1"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36183"	"TOP2A"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36184"	"TCF4"	"HSPA8"	"CDC5L complex"	NA	"Cytosol"
"36185"	"SFPQ"	"HSPA8"	"CDC5L complex"	NA	"Cytosol"
"36186"	"RBMX"	"HSPA8"	"CDC5L complex"	NA	"Cytosol"
"36187"	"PPP1CA"	"HSPA8"	"CDC5L complex"	NA	"Cytosol"
"36188"	"SNRPD1"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36189"	"SNRPD2"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36190"	"SNRPD3"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36191"	"PRKDC"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36192"	"SRSF2"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36193"	"SRSF1"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36194"	"ILF2"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36195"	"SF3B2"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36196"	"HSPA8"	"DYNC1H1"	"CDC5L complex"	"Cytosol"	"Cytosol"
"36197"	"SF3B4"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36198"	"HSPA8"	"BZW1"	"CDC5L complex"	"Cytosol"	"Cytosol"
"36199"	"SRRM1"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36202"	"HSPA8"	"CWC15"	"CDC5L complex"	"Cytosol"	"Nuclear"
"36204"	"SCAF8"	"HSPA8"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36205"	"TOP2A"	"TCF4"	"CDC5L complex"	"Nuclear"	NA
"36206"	"TOP2A"	"SFPQ"	"CDC5L complex"	"Nuclear"	NA
"36207"	"TOP2A"	"RBMX"	"CDC5L complex"	"Nuclear"	NA
"36208"	"TOP2A"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36209"	"TOP2A"	"SNRPD1"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36210"	"TOP2A"	"SNRPD2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36211"	"TOP2A"	"SNRPD3"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36212"	"TOP2A"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36213"	"TOP2A"	"SRSF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36214"	"TOP2A"	"SRSF1"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36215"	"TOP2A"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36216"	"TOP2A"	"SF3B2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36217"	"TOP2A"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36218"	"TOP2A"	"SF3B4"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36219"	"TOP2A"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36220"	"TOP2A"	"SRRM1"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36221"	"TOP2A"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36222"	"TOP2A"	"CDC5L"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36223"	"TOP2A"	"CWC15"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36224"	"TOP2A"	"PRPF19"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36225"	"TOP2A"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36226"	"TCF4"	"SFPQ"	"CDC5L complex"	NA	NA
"36227"	"TCF4"	"RBMX"	"CDC5L complex"	NA	NA
"36228"	"TCF4"	"PPP1CA"	"CDC5L complex"	NA	NA
"36229"	"TCF4"	"SNRPD1"	"CDC5L complex"	NA	"Nuclear"
"36230"	"TCF4"	"SNRPD2"	"CDC5L complex"	NA	"Nuclear"
"36231"	"TCF4"	"SNRPD3"	"CDC5L complex"	NA	"Nuclear"
"36232"	"TCF4"	"PRKDC"	"CDC5L complex"	NA	"Nuclear"
"36233"	"TCF4"	"SRSF2"	"CDC5L complex"	NA	"Nuclear"
"36234"	"TCF4"	"SRSF1"	"CDC5L complex"	NA	"Nuclear"
"36235"	"TCF4"	"ILF2"	"CDC5L complex"	NA	"Nuclear"
"36236"	"TCF4"	"SF3B2"	"CDC5L complex"	NA	"Nuclear"
"36237"	"TCF4"	"DYNC1H1"	"CDC5L complex"	NA	"Cytosol"
"36238"	"TCF4"	"SF3B4"	"CDC5L complex"	NA	"Nuclear"
"36239"	"TCF4"	"BZW1"	"CDC5L complex"	NA	"Cytosol"
"36240"	"TCF4"	"SRRM1"	"CDC5L complex"	NA	"Nuclear"
"36241"	"TCF4"	"GCN1"	"CDC5L complex"	NA	"Cytosol"
"36242"	"TCF4"	"CDC5L"	"CDC5L complex"	NA	"Nuclear"
"36243"	"TCF4"	"CWC15"	"CDC5L complex"	NA	"Nuclear"
"36244"	"TCF4"	"PRPF19"	"CDC5L complex"	NA	"Nuclear"
"36245"	"TCF4"	"SCAF8"	"CDC5L complex"	NA	"Nuclear"
"36246"	"SFPQ"	"RBMX"	"CDC5L complex"	NA	NA
"36247"	"SFPQ"	"PPP1CA"	"CDC5L complex"	NA	NA
"36248"	"SNRPD1"	"SFPQ"	"CDC5L complex"	"Nuclear"	NA
"36249"	"SNRPD2"	"SFPQ"	"CDC5L complex"	"Nuclear"	NA
"36250"	"SNRPD3"	"SFPQ"	"CDC5L complex"	"Nuclear"	NA
"36251"	"SFPQ"	"PRKDC"	"CDC5L complex"	NA	"Nuclear"
"36252"	"SRSF2"	"SFPQ"	"CDC5L complex"	"Nuclear"	NA
"36253"	"SRSF1"	"SFPQ"	"CDC5L complex"	"Nuclear"	NA
"36254"	"SFPQ"	"ILF2"	"CDC5L complex"	NA	"Nuclear"
"36255"	"SFPQ"	"SF3B2"	"CDC5L complex"	NA	"Nuclear"
"36256"	"SFPQ"	"DYNC1H1"	"CDC5L complex"	NA	"Cytosol"
"36257"	"SFPQ"	"SF3B4"	"CDC5L complex"	NA	"Nuclear"
"36258"	"SFPQ"	"BZW1"	"CDC5L complex"	NA	"Cytosol"
"36259"	"SRRM1"	"SFPQ"	"CDC5L complex"	"Nuclear"	NA
"36260"	"SFPQ"	"GCN1"	"CDC5L complex"	NA	"Cytosol"
"36261"	"SFPQ"	"CDC5L"	"CDC5L complex"	NA	"Nuclear"
"36262"	"SFPQ"	"CWC15"	"CDC5L complex"	NA	"Nuclear"
"36263"	"SFPQ"	"PRPF19"	"CDC5L complex"	NA	"Nuclear"
"36264"	"SFPQ"	"SCAF8"	"CDC5L complex"	NA	"Nuclear"
"36265"	"RBMX"	"PPP1CA"	"CDC5L complex"	NA	NA
"36269"	"RBMX"	"PRKDC"	"CDC5L complex"	NA	"Nuclear"
"36270"	"SRSF2"	"RBMX"	"CDC5L complex"	"Nuclear"	NA
"36272"	"RBMX"	"ILF2"	"CDC5L complex"	NA	"Nuclear"
"36274"	"RBMX"	"DYNC1H1"	"CDC5L complex"	NA	"Cytosol"
"36275"	"SF3B4"	"RBMX"	"CDC5L complex"	"Nuclear"	NA
"36276"	"RBMX"	"BZW1"	"CDC5L complex"	NA	"Cytosol"
"36278"	"RBMX"	"GCN1"	"CDC5L complex"	NA	"Cytosol"
"36282"	"SCAF8"	"RBMX"	"CDC5L complex"	"Nuclear"	NA
"36283"	"SNRPD1"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36284"	"SNRPD2"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36285"	"SNRPD3"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36286"	"PRKDC"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36287"	"SRSF2"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36288"	"SRSF1"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36289"	"PPP1CA"	"ILF2"	"CDC5L complex"	NA	"Nuclear"
"36290"	"SF3B2"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36291"	"PPP1CA"	"DYNC1H1"	"CDC5L complex"	NA	"Cytosol"
"36292"	"SF3B4"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36293"	"PPP1CA"	"BZW1"	"CDC5L complex"	NA	"Cytosol"
"36294"	"SRRM1"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36295"	"PPP1CA"	"GCN1"	"CDC5L complex"	NA	"Cytosol"
"36296"	"PPP1CA"	"CDC5L"	"CDC5L complex"	NA	"Nuclear"
"36297"	"PPP1CA"	"CWC15"	"CDC5L complex"	NA	"Nuclear"
"36298"	"PRPF19"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36299"	"SCAF8"	"PPP1CA"	"CDC5L complex"	"Nuclear"	NA
"36302"	"SNRPD1"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36305"	"SNRPD1"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36307"	"SNRPD1"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36309"	"SNRPD1"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36311"	"SNRPD1"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36315"	"SNRPD1"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36317"	"SNRPD2"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36320"	"SNRPD2"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36322"	"SNRPD2"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36324"	"SNRPD2"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36326"	"SNRPD2"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36330"	"SNRPD2"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36331"	"SNRPD3"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36334"	"SNRPD3"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36336"	"SNRPD3"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36338"	"SNRPD3"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36340"	"SNRPD3"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36344"	"SNRPD3"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36345"	"SRSF2"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36346"	"SRSF1"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36347"	"PRKDC"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36348"	"SF3B2"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36349"	"PRKDC"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36350"	"SF3B4"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36351"	"PRKDC"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36352"	"SRRM1"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36353"	"PRKDC"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36354"	"PRKDC"	"CDC5L"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36355"	"PRKDC"	"CWC15"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36356"	"PRPF19"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36357"	"SCAF8"	"PRKDC"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36359"	"SRSF2"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36361"	"SRSF2"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36363"	"SRSF2"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36365"	"SRSF2"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36369"	"SRSF2"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36370"	"SRSF1"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36372"	"SRSF1"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36374"	"SRSF1"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36376"	"SRSF1"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36380"	"SRSF1"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36381"	"SF3B2"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36382"	"ILF2"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36383"	"SF3B4"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36384"	"ILF2"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36385"	"SRRM1"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36386"	"ILF2"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36387"	"ILF2"	"CDC5L"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36388"	"ILF2"	"CWC15"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36389"	"PRPF19"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36390"	"SCAF8"	"ILF2"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36391"	"SF3B2"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36393"	"SF3B2"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36395"	"SF3B2"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36399"	"SF3B2"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36400"	"SF3B4"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36401"	"DYNC1H1"	"BZW1"	"CDC5L complex"	"Cytosol"	"Cytosol"
"36402"	"SRRM1"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36403"	"GCN1"	"DYNC1H1"	"CDC5L complex"	"Cytosol"	"Cytosol"
"36404"	"DYNC1H1"	"CDC5L"	"CDC5L complex"	"Cytosol"	"Nuclear"
"36405"	"DYNC1H1"	"CWC15"	"CDC5L complex"	"Cytosol"	"Nuclear"
"36406"	"PRPF19"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36407"	"SCAF8"	"DYNC1H1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36408"	"SF3B4"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36410"	"SF3B4"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36414"	"SF3B4"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36415"	"SRRM1"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36416"	"GCN1"	"BZW1"	"CDC5L complex"	"Cytosol"	"Cytosol"
"36417"	"CDC5L"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36418"	"CWC15"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36419"	"PRPF19"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36420"	"SCAF8"	"BZW1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36421"	"SRRM1"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36425"	"SRRM1"	"SCAF8"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36427"	"GCN1"	"CWC15"	"CDC5L complex"	"Cytosol"	"Nuclear"
"36429"	"SCAF8"	"GCN1"	"CDC5L complex"	"Nuclear"	"Cytosol"
"36432"	"SCAF8"	"CDC5L"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36434"	"SCAF8"	"CWC15"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36435"	"SCAF8"	"PRPF19"	"CDC5L complex"	"Nuclear"	"Nuclear"
"36436"	"PIK3C2B"	"PIK3C2A"	"EGFR-containing signaling complex"	"Cytosol"	"Cytosol"
"36437"	"PIK3C2A"	"EGFR"	"EGFR-containing signaling complex"	"Cytosol"	"Secretory"
"36438"	"PIK3C2A"	"ERBB2"	"EGFR-containing signaling complex"	"Cytosol"	"Secretory"
"36439"	"PIK3C2B"	"EGFR"	"EGFR-containing signaling complex"	"Cytosol"	"Secretory"
"36440"	"PIK3C2B"	"ERBB2"	"EGFR-containing signaling complex"	"Cytosol"	"Secretory"
"36441"	"ERBB2"	"EGFR"	"EGFR-containing signaling complex"	"Secretory"	"Secretory"
