"protein1"	"protein2"	"combined_score"	"gene1"	"gene2"
"536656"	"9606.ENSP00000319240"	"9606.ENSP00000362803"	800	"PPIL1"	"MAGOHB"
"536657"	"9606.ENSP00000319240"	"9606.ENSP00000396301"	900	"MAGOHB"	"IK"
"536667"	"9606.ENSP00000319240"	"9606.ENSP00000497641"	999	"MAGOHB"	"EIF4A3"
"536672"	"9606.ENSP00000319240"	"9606.ENSP00000393324"	410	"MAGOHB"	"EIF4E3"
"536673"	"9606.ENSP00000319240"	"9606.ENSP00000421592"	747	"MAGOHB"	"ALYREF"
"536677"	"9606.ENSP00000319240"	"9606.ENSP00000478070"	979	"MAGOHB"	"CWC25"
"536689"	"9606.ENSP00000319240"	"9606.ENSP00000360497"	900	"RNF113A"	"MAGOHB"
"536690"	"9606.ENSP00000319240"	"9606.ENSP00000457723"	920	"RNPS1"	"MAGOHB"
"536691"	"9606.ENSP00000319240"	"9606.ENSP00000469468"	900	"MAGOHB"	"LSM4"
"536694"	"9606.ENSP00000319240"	"9606.ENSP00000339090"	900	"RBMX2"	"MAGOHB"
"536696"	"9606.ENSP00000319240"	"9606.ENSP00000475615"	800	"MAGOHB"	"CWC15"
"536698"	"9606.ENSP00000319240"	"9606.ENSP00000335321"	900	"SF3B1"	"MAGOHB"
"536701"	"9606.ENSP00000319240"	"9606.ENSP00000392094"	981	"MAGOHB"	"EFTUD2"
"536702"	"9606.ENSP00000319240"	"9606.ENSP00000463058"	999	"RBM8A"	"MAGOHB"
"536703"	"9606.ENSP00000319240"	"9606.ENSP00000342374"	979	"SNRPD2"	"MAGOHB"
"536704"	"9606.ENSP00000319240"	"9606.ENSP00000424417"	800	"PLRG1"	"MAGOHB"
"536707"	"9606.ENSP00000319240"	"9606.ENSP00000411822"	900	"MAGOHB"	"ISY1-RAB43"
"536708"	"9606.ENSP00000319240"	"9606.ENSP00000326806"	499	"NCBP2"	"MAGOHB"
"536720"	"9606.ENSP00000319240"	"9606.ENSP00000415078"	800	"MAGOHB"	"CACTIN"
"536721"	"9606.ENSP00000319240"	"9606.ENSP00000451129"	807	"SNW1"	"MAGOHB"
"536725"	"9606.ENSP00000319240"	"9606.ENSP00000362110"	900	"SF3A3"	"MAGOHB"
"536726"	"9606.ENSP00000319240"	"9606.ENSP00000351137"	800	"XAB2"	"MAGOHB"
"536732"	"9606.ENSP00000319240"	"9606.ENSP00000364448"	986	"UPF3A"	"MAGOHB"
"536733"	"9606.ENSP00000319240"	"9606.ENSP00000383949"	900	"SNU13"	"MAGOHB"
"536734"	"9606.ENSP00000319240"	"9606.ENSP00000470142"	803	"UPF1"	"MAGOHB"
"536742"	"9606.ENSP00000319240"	"9606.ENSP00000386156"	991	"PYM1"	"MAGOHB"
"536747"	"9606.ENSP00000319240"	"9606.ENSP00000326381"	410	"MAGOHB"	"EIF4A2"
"536756"	"9606.ENSP00000319240"	"9606.ENSP00000400591"	979	"SNRPE"	"MAGOHB"
"536757"	"9606.ENSP00000319240"	"9606.ENSP00000361918"	800	"PPIE"	"MAGOHB"
"536762"	"9606.ENSP00000319240"	"9606.ENSP00000366557"	800	"MAGOHB"	"CRNKL1"
"536771"	"9606.ENSP00000319240"	"9606.ENSP00000370460"	900	"MAGOHB"	"CWC27"
"536772"	"9606.ENSP00000319240"	"9606.ENSP00000357928"	800	"MAGOHB"	"CDC40"
"536775"	"9606.ENSP00000319240"	"9606.ENSP00000380336"	900	"SMU1"	"MAGOHB"
"536776"	"9606.ENSP00000319240"	"9606.ENSP00000416269"	763	"MAGOHB"	"DDX39B"
"536777"	"9606.ENSP00000319240"	"9606.ENSP00000324122"	900	"PRPF31"	"MAGOHB"
"536793"	"9606.ENSP00000319255"	"9606.ENSP00000361900"	497	"TOMM34"	"CHORDC1"
"536803"	"9606.ENSP00000319255"	"9606.ENSP00000367208"	480	"SUGT1"	"CHORDC1"
"536825"	"9606.ENSP00000319255"	"9606.ENSP00000360609"	786	"HSP90AB1"	"CHORDC1"
"536833"	"9606.ENSP00000319255"	"9606.ENSP00000349244"	518	"EDRF1"	"CHORDC1"
"536836"	"9606.ENSP00000319255"	"9606.ENSP00000335153"	822	"HSP90AA1"	"CHORDC1"
"536837"	"9606.ENSP00000319255"	"9606.ENSP00000360329"	652	"TTC4"	"CHORDC1"
"536874"	"9606.ENSP00000319281"	"9606.ENSP00000368370"	651	"WT1"	"BASP1"
"536875"	"9606.ENSP00000319281"	"9606.ENSP00000478061"	563	"MARCKS"	"BASP1"
"536878"	"9606.ENSP00000319281"	"9606.ENSP00000357863"	429	"GTF3C6"	"BASP1"
"536902"	"9606.ENSP00000319281"	"9606.ENSP00000500934"	410	"MFSD4B"	"BASP1"
"536914"	"9606.ENSP00000319281"	"9606.ENSP00000371710"	424	"CDH18"	"BASP1"
"536949"	"9606.ENSP00000319281"	"9606.ENSP00000402338"	440	"RPF2"	"BASP1"
"536953"	"9606.ENSP00000319281"	"9606.ENSP00000367220"	422	"BASP1"	"ACTR2"
"536956"	"9606.ENSP00000319281"	"9606.ENSP00000349168"	457	"HNRNPH1"	"BASP1"
"536984"	"9606.ENSP00000319281"	"9606.ENSP00000354633"	410	"TAF11"	"BASP1"
"537004"	"9606.ENSP00000319281"	"9606.ENSP00000380460"	646	"PLAA"	"BASP1"
"537010"	"9606.ENSP00000319281"	"9606.ENSP00000381736"	601	"BASP1"	"ATP5F1A"
"537016"	"9606.ENSP00000319305"	"9606.ENSP00000335651"	424	"ZNF572"	"FSD2"
"537022"	"9606.ENSP00000319305"	"9606.ENSP00000375478"	424	"ZNF572"	"KRTAP10-3"
"537023"	"9606.ENSP00000319305"	"9606.ENSP00000357966"	591	"ZNF572"	"CEP57L1"
"537028"	"9606.ENSP00000319305"	"9606.ENSP00000442008"	617	"ZNF572"	"KIFC3"
"537036"	"9606.ENSP00000319341"	"9606.ENSP00000386023"	485	"LSM10"	"BUD31"
"537037"	"9606.ENSP00000319341"	"9606.ENSP00000360532"	487	"LSM10"	"CDC5L"
"537042"	"9606.ENSP00000319341"	"9606.ENSP00000472808"	725	"ZNF473"	"LSM10"
"537044"	"9606.ENSP00000319341"	"9606.ENSP00000364289"	677	"NCBP1"	"LSM10"
"537050"	"9606.ENSP00000319341"	"9606.ENSP00000460348"	493	"PRPF8"	"LSM10"
"537052"	"9606.ENSP00000319341"	"9606.ENSP00000393388"	996	"SNRPG"	"LSM10"
"537062"	"9606.ENSP00000319341"	"9606.ENSP00000475615"	402	"LSM10"	"CWC15"
"537079"	"9606.ENSP00000319341"	"9606.ENSP00000494831"	551	"SNRPN"	"LSM10"
"537080"	"9606.ENSP00000319341"	"9606.ENSP00000351137"	478	"XAB2"	"LSM10"
"537081"	"9606.ENSP00000319341"	"9606.ENSP00000362110"	478	"SF3A3"	"LSM10"
"537082"	"9606.ENSP00000319341"	"9606.ENSP00000433919"	687	"LSM10"	"CLNS1A"
"537098"	"9606.ENSP00000319341"	"9606.ENSP00000366557"	485	"LSM10"	"CRNKL1"
"537113"	"9606.ENSP00000319341"	"9606.ENSP00000490829"	443	"SPACA6"	"LSM10"
"537118"	"9606.ENSP00000319341"	"9606.ENSP00000412566"	993	"SNRPB"	"LSM10"
"537125"	"9606.ENSP00000319341"	"9606.ENSP00000370083"	575	"SMN1"	"LSM10"
"537138"	"9606.ENSP00000319341"	"9606.ENSP00000417686"	499	"SLBP"	"LSM10"
"537153"	"9606.ENSP00000319341"	"9606.ENSP00000451129"	402	"SNW1"	"LSM10"
"537156"	"9606.ENSP00000319341"	"9606.ENSP00000392094"	493	"LSM10"	"EFTUD2"
"537157"	"9606.ENSP00000319341"	"9606.ENSP00000326806"	620	"NCBP2"	"LSM10"
"537158"	"9606.ENSP00000319341"	"9606.ENSP00000424417"	402	"PLRG1"	"LSM10"
"537159"	"9606.ENSP00000319341"	"9606.ENSP00000342374"	656	"SNRPD2"	"LSM10"
"537167"	"9606.ENSP00000319341"	"9606.ENSP00000400591"	997	"SNRPE"	"LSM10"
"537185"	"9606.ENSP00000319341"	"9606.ENSP00000332103"	549	"NAA38"	"LSM10"
"537188"	"9606.ENSP00000319370"	"9606.ENSP00000382770"	900	"KCNU1"	"KCNMB3"
"537191"	"9606.ENSP00000319370"	"9606.ENSP00000407592"	900	"KCNMB3"	"KCNMB2"
"537192"	"9606.ENSP00000319370"	"9606.ENSP00000481848"	900	"KCNN3"	"KCNMB3"
"537199"	"9606.ENSP00000319370"	"9606.ENSP00000496939"	900	"KCNN4"	"KCNMB3"
"537200"	"9606.ENSP00000319370"	"9606.ENSP00000476519"	900	"KCNN1"	"KCNMB3"
"537240"	"9606.ENSP00000319417"	"9606.ENSP00000364721"	485	"SKA3"	"MAPRE1"
"537253"	"9606.ENSP00000319417"	"9606.ENSP00000419628"	457	"SKA3"	"NUDT5"
"537269"	"9606.ENSP00000319417"	"9606.ENSP00000342502"	582	"SKA3"	"PYCR2"
"537289"	"9606.ENSP00000319417"	"9606.ENSP00000483523"	597	"SKA3"	"NOL4L"
"537294"	"9606.ENSP00000319417"	"9606.ENSP00000467843"	540	"SKA3"	"BOD1L2"
"537311"	"9606.ENSP00000319417"	"9606.ENSP00000385000"	621	"SKA3"	"KIF2A"
"537319"	"9606.ENSP00000319417"	"9606.ENSP00000355922"	900	"SKA3"	"CENPF"
"537320"	"9606.ENSP00000319417"	"9606.ENSP00000333433"	999	"SKA3"	"SKA2"
"537328"	"9606.ENSP00000319417"	"9606.ENSP00000372042"	422	"SKA3"	"PPP2R2C"
"537341"	"9606.ENSP00000319417"	"9606.ENSP00000399970"	470	"SKA3"	"PPP2R2D"
"537353"	"9606.ENSP00000319417"	"9606.ENSP00000377936"	431	"SKA3"	"PPP2R2B"
"537370"	"9606.ENSP00000319464"	"9606.ENSP00000359446"	900	"CPN2"	"CPN1"
"537376"	"9606.ENSP00000319476"	"9606.ENSP00000395294"	777	"ICOS"	"CD70"
"537378"	"9606.ENSP00000319476"	"9606.ENSP00000485129"	999	"LOC102723996"	"ICOS"
"537386"	"9606.ENSP00000319476"	"9606.ENSP00000332049"	976	"ICOS"	"CD86"
"537387"	"9606.ENSP00000319476"	"9606.ENSP00000481152"	900	"IGHV3-43D"	"ICOS"
"537389"	"9606.ENSP00000319476"	"9606.ENSP00000359663"	925	"ICOS"	"CD40LG"
"537394"	"9606.ENSP00000319476"	"9606.ENSP00000324890"	914	"ICOS"	"CD28"
"537402"	"9606.ENSP00000319476"	"9606.ENSP00000365048"	706	"TNFSF13B"	"ICOS"
"537406"	"9606.ENSP00000319476"	"9606.ENSP00000402060"	644	"PVR"	"ICOS"
"537407"	"9606.ENSP00000319476"	"9606.ENSP00000339477"	999	"ICOSLG"	"ICOS"
"537408"	"9606.ENSP00000319476"	"9606.ENSP00000380855"	828	"PDCD1LG2"	"ICOS"
"537415"	"9606.ENSP00000319476"	"9606.ENSP00000441954"	428	"SMAD5"	"ICOS"
"537416"	"9606.ENSP00000319476"	"9606.ENSP00000428056"	748	"PIK3R1"	"ICOS"
"537417"	"9606.ENSP00000319476"	"9606.ENSP00000478699"	556	"TNFRSF9"	"ICOS"
"537422"	"9606.ENSP00000319476"	"9606.ENSP00000398698"	573	"TNF"	"ICOS"
"537425"	"9606.ENSP00000319476"	"9606.ENSP00000329967"	543	"TBK1"	"ICOS"
"537428"	"9606.ENSP00000319476"	"9606.ENSP00000361359"	932	"ICOS"	"CD40"
"537429"	"9606.ENSP00000319476"	"9606.ENSP00000370989"	956	"ICOS"	"CD274"
"537432"	"9606.ENSP00000319476"	"9606.ENSP00000497102"	861	"ICOS"	"CTLA4"
"537441"	"9606.ENSP00000319482"	"9606.ENSP00000451575"	481	"DCUN1D3"	"ASB2"
"537445"	"9606.ENSP00000319482"	"9606.ENSP00000384109"	457	"DCUN1D3"	"CUL4B"
"537447"	"9606.ENSP00000319482"	"9606.ENSP00000414095"	457	"DCUN1D3"	"CUL2"
"537450"	"9606.ENSP00000319482"	"9606.ENSP00000478474"	958	"UBE2F"	"DCUN1D3"
"537451"	"9606.ENSP00000319482"	"9606.ENSP00000442318"	457	"DCUN1D3"	"CAND1"
"537452"	"9606.ENSP00000319482"	"9606.ENSP00000376808"	457	"DCUN1D3"	"CUL5"
"537453"	"9606.ENSP00000319482"	"9606.ENSP00000364589"	457	"DCUN1D3"	"CUL4A"
"537455"	"9606.ENSP00000319482"	"9606.ENSP00000326804"	614	"DCUN1D3"	"CUL1"
"537461"	"9606.ENSP00000319486"	"9606.ENSP00000498577"	971	"TSPAN16"	"TPM3"
"537527"	"9606.ENSP00000319531"	"9606.ENSP00000430031"	401	"TXNRD3"	"GCSH"
"537532"	"9606.ENSP00000319531"	"9606.ENSP00000360938"	563	"SARDH"	"GCSH"
"537540"	"9606.ENSP00000319531"	"9606.ENSP00000434516"	401	"TXNRD1"	"GCSH"
"537554"	"9606.ENSP00000319531"	"9606.ENSP00000346659"	575	"OCA2"	"GCSH"
"537559"	"9606.ENSP00000319531"	"9606.ENSP00000383365"	401	"TXNRD2"	"GCSH"
"537587"	"9606.ENSP00000319531"	"9606.ENSP00000370737"	988	"GLDC"	"GCSH"
"537608"	"9606.ENSP00000319591"	"9606.ENSP00000396915"	579	"SCN1B"	"KCND3"
"537611"	"9606.ENSP00000319591"	"9606.ENSP00000419952"	509	"KCND3"	"KCNAB1"
"537632"	"9606.ENSP00000319591"	"9606.ENSP00000371587"	684	"KCNIP4"	"KCND3"
"537633"	"9606.ENSP00000319591"	"9606.ENSP00000328511"	602	"KCND3"	"KCNA4"
"537636"	"9606.ENSP00000319591"	"9606.ENSP00000333496"	924	"KCND3"	"KCND2"
"537640"	"9606.ENSP00000319591"	"9606.ENSP00000414886"	999	"KCNIP1"	"KCND3"
"537675"	"9606.ENSP00000319591"	"9606.ENSP00000431822"	463	"KCND3"	"FAU"
"537676"	"9606.ENSP00000319591"	"9606.ENSP00000376855"	942	"KCND3"	"DPP10"
"537702"	"9606.ENSP00000319591"	"9606.ENSP00000367323"	509	"KCND3"	"KCNAB2"
"537703"	"9606.ENSP00000319591"	"9606.ENSP00000367001"	804	"KCND3"	"DPP6"
"537715"	"9606.ENSP00000319591"	"9606.ENSP00000420040"	999	"KCNIP2"	"KCND3"
"537721"	"9606.ENSP00000319597"	"9606.ENSP00000399982"	499	"TAF6"	"SNAPC5"
"537725"	"9606.ENSP00000319597"	"9606.ENSP00000361446"	499	"SNAPC5"	"POLR3A"
"537728"	"9606.ENSP00000319597"	"9606.ENSP00000342889"	499	"SNAPC5"	"POLR2K"
"537729"	"9606.ENSP00000319597"	"9606.ENSP00000358320"	499	"SNAPC5"	"POLR3GL"
"537731"	"9606.ENSP00000319597"	"9606.ENSP00000355051"	499	"TAF13"	"SNAPC5"
"537733"	"9606.ENSP00000319597"	"9606.ENSP00000366828"	499	"SNAPC5"	"POLR3F"
"537735"	"9606.ENSP00000319597"	"9606.ENSP00000329357"	499	"SP1"	"SNAPC5"
"537737"	"9606.ENSP00000319597"	"9606.ENSP00000415536"	499	"SNAPC5"	"POLR2H"
"537738"	"9606.ENSP00000319597"	"9606.ENSP00000374529"	499	"SNAPC5"	"CCNK"
"537739"	"9606.ENSP00000319597"	"9606.ENSP00000385725"	499	"SNAPC5"	"POLR2F"
"537741"	"9606.ENSP00000319597"	"9606.ENSP00000378736"	499	"SNAPC5"	"CRCP"
"537742"	"9606.ENSP00000319597"	"9606.ENSP00000334564"	499	"SNAPC5"	"POLR3C"
"537745"	"9606.ENSP00000319597"	"9606.ENSP00000362361"	499	"SNAPC5"	"CDK9"
"537746"	"9606.ENSP00000319597"	"9606.ENSP00000431603"	499	"SNAPC5"	"POU2F2"
"537747"	"9606.ENSP00000319597"	"9606.ENSP00000478303"	499	"SNAPC5"	"POLR2E"
"537750"	"9606.ENSP00000319597"	"9606.ENSP00000356840"	499	"SNAPC5"	"POU2F1"
"537754"	"9606.ENSP00000319597"	"9606.ENSP00000354633"	499	"TAF11"	"SNAPC5"
"537755"	"9606.ENSP00000319597"	"9606.ENSP00000347345"	499	"SNAPC5"	"POLR3H"
"537756"	"9606.ENSP00000319597"	"9606.ENSP00000452454"	895	"SNAPC5"	"GTF2A1"
"537757"	"9606.ENSP00000319597"	"9606.ENSP00000358854"	499	"TAF5"	"SNAPC5"
"537760"	"9606.ENSP00000319597"	"9606.ENSP00000351575"	499	"SNAPC5"	"BDP1"
"537761"	"9606.ENSP00000319597"	"9606.ENSP00000348168"	499	"SNAPC5"	"GTF2E2"
"537762"	"9606.ENSP00000319597"	"9606.ENSP00000498469"	499	"SNAPC5"	"POLR3G"
"537763"	"9606.ENSP00000319597"	"9606.ENSP00000380904"	499	"SNAPC5"	"POLR3D"
"537764"	"9606.ENSP00000319597"	"9606.ENSP00000377969"	499	"SNAPC5"	"GTF2F1"
"537765"	"9606.ENSP00000319597"	"9606.ENSP00000379847"	499	"ZNF143"	"SNAPC5"
"537770"	"9606.ENSP00000319597"	"9606.ENSP00000340823"	499	"SNAPC5"	"GTF2F2"
"537772"	"9606.ENSP00000319597"	"9606.ENSP00000379372"	895	"SNAPC5"	"GTF2A2"
"537774"	"9606.ENSP00000319597"	"9606.ENSP00000362068"	499	"TAF8"	"SNAPC5"
"537775"	"9606.ENSP00000319597"	"9606.ENSP00000370200"	989	"SNAPC5"	"SNAPC3"
"537776"	"9606.ENSP00000319597"	"9606.ENSP00000359531"	947	"SNAPC5"	"GTF2B"
"537777"	"9606.ENSP00000319597"	"9606.ENSP00000324124"	499	"SNAPC5"	"POLR2L"
"537778"	"9606.ENSP00000319597"	"9606.ENSP00000358474"	420	"SNAPC5"	"BRCC3"
"537779"	"9606.ENSP00000319597"	"9606.ENSP00000496044"	499	"SNAPC5"	"POLR1C"
"537780"	"9606.ENSP00000319597"	"9606.ENSP00000370193"	499	"TAF9"	"SNAPC5"
"537781"	"9606.ENSP00000319622"	"9606.ENSP00000332565"	796	"SULT4A1"	"SULT1C2"
"537784"	"9606.ENSP00000319622"	"9606.ENSP00000378570"	673	"SULT1C2"	"SULT1A3"
"537787"	"9606.ENSP00000319622"	"9606.ENSP00000384950"	499	"SULT6B1"	"SULT1C2"
"537790"	"9606.ENSP00000319622"	"9606.ENSP00000378992"	796	"SULT1C2"	"SULT1A2"
"537793"	"9606.ENSP00000319622"	"9606.ENSP00000353600"	767	"SULT1C2"	"SULT1A4"
"537796"	"9606.ENSP00000319622"	"9606.ENSP00000378972"	880	"SULT1C2"	"SULT1A1"
"537801"	"9606.ENSP00000319623"	"9606.ENSP00000496268"	422	"SGCE"	"IGDCC4"
"537811"	"9606.ENSP00000319623"	"9606.ENSP00000371958"	420	"IGDCC4"	"CD9"
"537821"	"9606.ENSP00000319635"	"9606.ENSP00000474412"	989	"CXCR2"	"CCL5"
"537829"	"9606.ENSP00000319635"	"9606.ENSP00000369960"	442	"CXCR2"	"ADRA1A"
"537832"	"9606.ENSP00000319635"	"9606.ENSP00000478024"	820	"CXCR2"	"CCL16"
"537836"	"9606.ENSP00000319635"	"9606.ENSP00000367872"	800	"GNB1"	"CXCR2"
"537840"	"9606.ENSP00000319635"	"9606.ENSP00000497260"	900	"GNAI1"	"CXCR2"
"537842"	"9606.ENSP00000319635"	"9606.ENSP00000349967"	430	"CXCR2"	"CCRL2"
"537843"	"9606.ENSP00000319635"	"9606.ENSP00000367832"	895	"CXCR2"	"CCL7"
"537844"	"9606.ENSP00000319635"	"9606.ENSP00000375086"	650	"CXCR2"	"CCL25"
"537845"	"9606.ENSP00000319635"	"9606.ENSP00000480558"	762	"CXCR2"	"CCL3L1"
"537846"	"9606.ENSP00000319635"	"9606.ENSP00000419692"	447	"RXRA"	"CXCR2"
"537850"	"9606.ENSP00000319635"	"9606.ENSP00000400533"	651	"CXCR2"	"CCL24"
"537855"	"9606.ENSP00000319635"	"9606.ENSP00000484078"	650	"CXCR2"	"CCL15"
"537862"	"9606.ENSP00000319635"	"9606.ENSP00000398632"	966	"CXCR2"	"CD44"
"537863"	"9606.ENSP00000319635"	"9606.ENSP00000379140"	993	"CXCR2"	"CXCL12"
"537875"	"9606.ENSP00000319635"	"9606.ENSP00000427279"	995	"CXCR2"	"CXCL2"
"537876"	"9606.ENSP00000319635"	"9606.ENSP00000334448"	800	"GNG2"	"CXCR2"
"537880"	"9606.ENSP00000319635"	"9606.ENSP00000386884"	981	"CXCR4"	"CXCR2"
"537882"	"9606.ENSP00000319635"	"9606.ENSP00000354901"	904	"CXCR2"	"CXCL9"
"537892"	"9606.ENSP00000319635"	"9606.ENSP00000356793"	650	"XCL2"	"CXCR2"
"537895"	"9606.ENSP00000319635"	"9606.ENSP00000498227"	437	"SELL"	"CXCR2"
"537896"	"9606.ENSP00000319635"	"9606.ENSP00000477908"	937	"CXCR2"	"CCL3"
"537917"	"9606.ENSP00000319635"	"9606.ENSP00000403701"	759	"CXCR2"	"ARRB2"
"537919"	"9606.ENSP00000319635"	"9606.ENSP00000351671"	884	"CXCR2"	"CCL20"
"537922"	"9606.ENSP00000319635"	"9606.ENSP00000356792"	650	"XCL1"	"CXCR2"
"537927"	"9606.ENSP00000319635"	"9606.ENSP00000379110"	995	"CXCR2"	"CXCL1"
"537932"	"9606.ENSP00000319635"	"9606.ENSP00000339381"	685	"RGS12"	"CXCR2"
"537933"	"9606.ENSP00000319635"	"9606.ENSP00000428994"	457	"GRIA1"	"CXCR2"
"537937"	"9606.ENSP00000319635"	"9606.ENSP00000482259"	945	"CXCR2"	"CCL4"
"537941"	"9606.ENSP00000319635"	"9606.ENSP00000479955"	651	"CXCR2"	"CCL18"
"537944"	"9606.ENSP00000319635"	"9606.ENSP00000378365"	650	"CXCR2"	"CCL26"
"537947"	"9606.ENSP00000319635"	"9606.ENSP00000378118"	857	"CXCR2"	"CCL8"
"537950"	"9606.ENSP00000319635"	"9606.ENSP00000483330"	840	"CXCR2"	"CCL4L2"
"537954"	"9606.ENSP00000319635"	"9606.ENSP00000362795"	693	"CXCR3"	"CXCR2"
"537955"	"9606.ENSP00000319635"	"9606.ENSP00000354416"	650	"CXCR2"	"CCL28"
"537959"	"9606.ENSP00000319635"	"9606.ENSP00000409581"	910	"CXCR2"	"ARRB1"
"537962"	"9606.ENSP00000319635"	"9606.ENSP00000337065"	674	"CXCR2"	"CXCL14"
"537970"	"9606.ENSP00000319635"	"9606.ENSP00000471493"	406	"FPR1"	"CXCR2"
"537973"	"9606.ENSP00000319636"	"9606.ENSP00000321874"	900	"B3GNT4"	"B3GNT3"
"537983"	"9606.ENSP00000319664"	"9606.ENSP00000465039"	422	"NUDC"	"MAP4K1"
"537993"	"9606.ENSP00000319664"	"9606.ENSP00000359206"	655	"NUDC"	"BTRC"
"538029"	"9606.ENSP00000319664"	"9606.ENSP00000380378"	814	"PAFAH1B1"	"NUDC"
"538034"	"9606.ENSP00000319664"	"9606.ENSP00000335153"	452	"NUDC"	"HSP90AA1"
"538051"	"9606.ENSP00000319664"	"9606.ENSP00000466680"	545	"RND2"	"NUDC"
"538089"	"9606.ENSP00000319664"	"9606.ENSP00000381461"	457	"PPME1"	"NUDC"
"538162"	"9606.ENSP00000319673"	"9606.ENSP00000354032"	414	"GPR89A"	"BSCL2"
"538164"	"9606.ENSP00000319705"	"9606.ENSP00000373691"	757	"DUOXA2"	"DUOX2"
"538174"	"9606.ENSP00000319713"	"9606.ENSP00000497280"	499	"AGTRAP"	"AGK"
"538177"	"9606.ENSP00000319713"	"9606.ENSP00000350170"	499	"FXR1"	"AGTRAP"
"538179"	"9606.ENSP00000319713"	"9606.ENSP00000464006"	625	"PITPNC1"	"AGTRAP"
"538183"	"9606.ENSP00000319713"	"9606.ENSP00000419060"	499	"BRAF"	"AGTRAP"
"538184"	"9606.ENSP00000319713"	"9606.ENSP00000380692"	499	"KDM7A"	"AGTRAP"
"538188"	"9606.ENSP00000319713"	"9606.ENSP00000346762"	499	"SND1"	"AGTRAP"
"538194"	"9606.ENSP00000319713"	"9606.ENSP00000398832"	917	"AGTRAP"	"AGTR1"
"538197"	"9606.ENSP00000319713"	"9606.ENSP00000348573"	499	"AKAP9"	"AGTRAP"
"538205"	"9606.ENSP00000319713"	"9606.ENSP00000340507"	499	"TRIM24"	"AGTRAP"
"538210"	"9606.ENSP00000319713"	"9606.ENSP00000405738"	499	"ESRP1"	"AGTRAP"
"538211"	"9606.ENSP00000319713"	"9606.ENSP00000409007"	539	"GDNF"	"AGTRAP"
"538212"	"9606.ENSP00000319713"	"9606.ENSP00000357283"	501	"LMNA"	"AGTRAP"
"538214"	"9606.ENSP00000319713"	"9606.ENSP00000346437"	499	"ATG7"	"AGTRAP"
"538217"	"9606.ENSP00000319713"	"9606.ENSP00000328998"	499	"TRAK1"	"AGTRAP"
"538230"	"9606.ENSP00000319713"	"9606.ENSP00000410603"	499	"FAM131B"	"AGTRAP"
"538235"	"9606.ENSP00000319713"	"9606.ENSP00000488642"	499	"TENT4A"	"AGTRAP"
"538238"	"9606.ENSP00000319713"	"9606.ENSP00000379156"	499	"MPRIP"	"AGTRAP"
"538240"	"9606.ENSP00000319713"	"9606.ENSP00000416040"	499	"KIAA1549"	"AGTRAP"
"538241"	"9606.ENSP00000319713"	"9606.ENSP00000362588"	534	"PBX3"	"AGTRAP"
"538244"	"9606.ENSP00000319713"	"9606.ENSP00000355094"	499	"QKI"	"AGTRAP"
"538248"	"9606.ENSP00000319713"	"9606.ENSP00000341597"	499	"FAM114A2"	"AGTRAP"
"538254"	"9606.ENSP00000319713"	"9606.ENSP00000376943"	499	"BCL2L11"	"AGTRAP"
"538257"	"9606.ENSP00000319726"	"9606.ENSP00000426120"	414	"GRAMD2B"	"FRMD8"
"538260"	"9606.ENSP00000319726"	"9606.ENSP00000322775"	673	"RHBDF2"	"FRMD8"
"538288"	"9606.ENSP00000319739"	"9606.ENSP00000422626"	457	"RCN2"	"LARP7"
"538293"	"9606.ENSP00000319739"	"9606.ENSP00000356379"	622	"RCN2"	"ASPM"
"538303"	"9606.ENSP00000319739"	"9606.ENSP00000351250"	420	"TRIM33"	"RCN2"
"538310"	"9606.ENSP00000319739"	"9606.ENSP00000419765"	420	"RCN2"	"BRD9"
"538312"	"9606.ENSP00000319739"	"9606.ENSP00000406549"	420	"TAF1"	"RCN2"
"538321"	"9606.ENSP00000319739"	"9606.ENSP00000350267"	420	"RCN2"	"BRPF3"
"538347"	"9606.ENSP00000319739"	"9606.ENSP00000343023"	420	"SP100"	"RCN2"
"538423"	"9606.ENSP00000319739"	"9606.ENSP00000482313"	457	"RECQL4"	"RCN2"
"538425"	"9606.ENSP00000319739"	"9606.ENSP00000327545"	520	"RCN2"	"NPTXR"
"538430"	"9606.ENSP00000319739"	"9606.ENSP00000410042"	420	"RCN2"	"BRD1"
"538456"	"9606.ENSP00000319739"	"9606.ENSP00000371638"	420	"SMARCA2"	"RCN2"
"538489"	"9606.ENSP00000319744"	"9606.ENSP00000363553"	534	"LPAR1"	"GPR4"
"538547"	"9606.ENSP00000319756"	"9606.ENSP00000332791"	414	"TNS2"	"KLHL15"
"538592"	"9606.ENSP00000319756"	"9606.ENSP00000341189"	408	"TNS2"	"PTK2"
"538615"	"9606.ENSP00000319781"	"9606.ENSP00000436005"	507	"TRAPPC4"	"RAB43"
"538618"	"9606.ENSP00000319781"	"9606.ENSP00000409231"	477	"TRAPPC13"	"RAB43"
"538623"	"9606.ENSP00000319781"	"9606.ENSP00000392495"	513	"TRAPPC2"	"RAB43"
"538625"	"9606.ENSP00000319781"	"9606.ENSP00000350386"	557	"RAB43"	"CHM"
"538629"	"9606.ENSP00000319781"	"9606.ENSP00000335371"	547	"TRAPPC11"	"RAB43"
"538639"	"9606.ENSP00000319781"	"9606.ENSP00000324318"	581	"TRAPPC12"	"RAB43"
