"protein1"	"protein2"	"combined_score"	"gene1"	"gene2"
"691"	"9606.ENSP00000003084"	"9606.ENSP00000327694"	499	"CFTR"	"AP2A2"
"692"	"9606.ENSP00000003084"	"9606.ENSP00000364235"	879	"RNF5"	"CFTR"
"695"	"9606.ENSP00000003084"	"9606.ENSP00000457411"	830	"USP10"	"CFTR"
"697"	"9606.ENSP00000003084"	"9606.ENSP00000337053"	499	"SEL1L"	"CFTR"
"699"	"9606.ENSP00000003084"	"9606.ENSP00000369198"	418	"CFTR"	"ADGRG2"
"701"	"9606.ENSP00000003084"	"9606.ENSP00000320508"	630	"RNF185"	"CFTR"
"703"	"9606.ENSP00000003084"	"9606.ENSP00000438248"	431	"CFTR"	"CALU"
"707"	"9606.ENSP00000003084"	"9606.ENSP00000273130"	499	"DYNC1LI1"	"CFTR"
"715"	"9606.ENSP00000003084"	"9606.ENSP00000380308"	499	"DYNC1I2"	"CFTR"
"716"	"9606.ENSP00000003084"	"9606.ENSP00000428112"	542	"ERLIN2"	"CFTR"
"717"	"9606.ENSP00000003084"	"9606.ENSP00000222812"	457	"STX1A"	"CFTR"
"724"	"9606.ENSP00000003084"	"9606.ENSP00000373489"	520	"KRT18"	"CFTR"
"725"	"9606.ENSP00000003084"	"9606.ENSP00000449404"	647	"KRT8"	"CFTR"
"727"	"9606.ENSP00000003084"	"9606.ENSP00000365804"	660	"HDAC6"	"CFTR"
"729"	"9606.ENSP00000003084"	"9606.ENSP00000357484"	962	"GOPC"	"CFTR"
"730"	"9606.ENSP00000003084"	"9606.ENSP00000338934"	771	"EZR"	"CFTR"
"734"	"9606.ENSP00000003084"	"9606.ENSP00000306275"	443	"KCNK3"	"CFTR"
"735"	"9606.ENSP00000003084"	"9606.ENSP00000273047"	457	"RAB5A"	"CFTR"
"740"	"9606.ENSP00000003084"	"9606.ENSP00000258198"	508	"DYNC1LI2"	"CFTR"
"741"	"9606.ENSP00000003084"	"9606.ENSP00000494609"	574	"CFTR"	"ABCC4"
"742"	"9606.ENSP00000003100"	"9606.ENSP00000264027"	534	"SC5D"	"CYP51A1"
"792"	"9606.ENSP00000003100"	"9606.ENSP00000491537"	415	"FDFT1"	"CYP51A1"
"804"	"9606.ENSP00000003100"	"9606.ENSP00000277010"	494	"SIGMAR1"	"CYP51A1"
"807"	"9606.ENSP00000003100"	"9606.ENSP00000256319"	796	"ERG28"	"CYP51A1"
"815"	"9606.ENSP00000003100"	"9606.ENSP00000354468"	644	"CYP51A1"	"CYB5R3"
"817"	"9606.ENSP00000003100"	"9606.ENSP00000217971"	646	"PGRMC1"	"CYP51A1"
"821"	"9606.ENSP00000003100"	"9606.ENSP00000380837"	496	"LSS"	"CYP51A1"
"824"	"9606.ENSP00000003302"	"9606.ENSP00000424198"	434	"USP28"	"KLHL2"
"826"	"9606.ENSP00000003302"	"9606.ENSP00000383042"	457	"USP28"	"KDM1A"
"829"	"9606.ENSP00000003302"	"9606.ENSP00000371475"	986	"USP28"	"TP53BP1"
"837"	"9606.ENSP00000003302"	"9606.ENSP00000269305"	475	"USP28"	"TP53"
"838"	"9606.ENSP00000003302"	"9606.ENSP00000312995"	778	"USP28"	"CLSPN"
"853"	"9606.ENSP00000003302"	"9606.ENSP00000478771"	914	"USP28"	"UBB"
"862"	"9606.ENSP00000003302"	"9606.ENSP00000372023"	607	"USP28"	"CHEK2"
"868"	"9606.ENSP00000003302"	"9606.ENSP00000478887"	830	"USP28"	"MYC"
"870"	"9606.ENSP00000003302"	"9606.ENSP00000441543"	965	"USP28"	"UBC"
"886"	"9606.ENSP00000003302"	"9606.ENSP00000474725"	900	"USP28"	"FBXW7"
