"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"cluster"	"Module"	"NMF"	"dir"
"REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER"	"REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER"	"5/87"	"40/7434"	0.125	10.6810344827586	6.68034224034378	9.31989983921426e-05	0.00855100810247909	0.00755402408020524	"GTF2H3/GTF2H1/CCNH/DDB2/GTF2H4"	5	1	"GTF2H3_FORALL_030"	"NMF5"	"low"
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES"	"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES"	"6/87"	"61/7434"	0.0983606557377049	8.40474844544941	6.31887526681355	7.15909754099828e-05	0.00855100810247909	0.00755402408020524	"GTF2H3/GTF2H1/CCNH/ATM/DDB2/GTF2H4"	6	1	"GTF2H3_FORALL_030"	"NMF5"	"low"
"REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE"	"REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE"	"4/87"	"19/7434"	0.210526315789474	17.989110707804	8.0682350509195	5.93185840055417e-05	0.00855100810247909	0.00755402408020524	"ACO2/ISCU/SDHAF4/SDHB"	4	2	"GTF2H3_FORALL_030"	"NMF5"	"low"
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM"	"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM"	"4/87"	"21/7434"	0.19047619047619	16.2758620689655	7.62790101005452	8.99718708195869e-05	0.00855100810247909	0.00755402408020524	"ALDH6A1/BCAT2/IVD/DBT"	4	3	"GTF2H3_FORALL_030"	"NMF5"	"low"
"REACTOME_GLUCONEOGENESIS"	"REACTOME_GLUCONEOGENESIS"	"7/242"	"19/7434"	0.368421052631579	11.3175293605916	8.25965383460263	1.28124245255914e-06	0.000456122313111052	0.000431576405072551	"ALDOA/ENO1/ENO2/PGK1/TPI1/PGK2/ALDOC"	7	1	"SKIC2_FORALL_053"	"NMF5"	"low"
"REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES"	"REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES"	"19/242"	"207/7434"	0.0917874396135266	2.8196191160618	4.87025326392284	4.04889118299078e-05	0.00576562104457887	0.00545534812024021	"TKFC/ALDOA/GUSB/PGM1/ENO1/GALE/GALT/ENO2/SLC2A1/PGK1/RPE/PFKFB4/TPI1/CHST11/HK1/AGL/PGK2/ALDOC/GNPDA1"	19	1	"SKIC2_FORALL_053"	"NMF5"	"low"
"REACTOME_PECAM1_INTERACTIONS"	"REACTOME_PECAM1_INTERACTIONS"	"5/242"	"12/7434"	0.416666666666667	12.7995867768595	7.50346492154451	2.30392943728802e-05	0.00410099439837268	0.0038803022101693	"LYN/INPP5D/LCK/PLCG1/FYN"	5	2	"SKIC2_FORALL_053"	"NMF5"	"low"
"REACTOME_TCR_SIGNALING"	"REACTOME_TCR_SIGNALING"	"12/242"	"99/7434"	0.121212121212121	3.72351615326822	5.00394357237696	8.07969369708501e-05	0.00821820273189218	0.00777594581373595	"INPP5D/CDC34/VASP/PTPRC/PTPN22/HLA-DRA/CARD11/LCK/HLA-DPA1/PLCG1/CSK/HLA-DQB1"	12	2	"SKIC2_FORALL_053"	"NMF5"	"low"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS"	"REACTOME_CHOLESTEROL_BIOSYNTHESIS"	"8/242"	"25/7434"	0.32	9.8300826446281	8.11184951440057	7.52204116631819e-07	0.000456122313111052	0.000431576405072551	"NSDHL/HSD17B7/SQLE/MVK/MVD/FDFT1/SC5D/MSMO1"	8	3	"SKIC2_FORALL_053"	"NMF5"	"low"
"REACTOME_NEUTROPHIL_DEGRANULATION"	"REACTOME_NEUTROPHIL_DEGRANULATION"	"31/242"	"397/7434"	0.0780856423173804	2.39871349168349	5.25406149891591	4.37160291159217e-06	0.00103752709101788	0.000981693285410173	"CTSS/CD63/NIT2/MVP/ALDOA/GUSB/PGM1/IDH1/TOLLIP/PTPRC/KCNAB2/PSAP/TMC6/VPS35L/HVCN1/SLC2A3/RNASET2/TRPM2/CD300A/S100A11/STOM/AGL/CYSTM1/BST2/STING1/ALDOC/ITGB2/TBC1D10C/COTL1/CTSZ/ADA2"	31	4	"SKIC2_FORALL_053"	"NMF5"	"low"
"REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM"	"REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM"	"4/242"	"8/7434"	0.5	15.3595041322314	7.45369939833038	6.91784356114283e-05	0.00820917435922282	0.00776740329672177	"MCCC1/MCCC2/ACACA/PCCA"	4	5	"SKIC2_FORALL_053"	"NMF5"	"low"
"REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION"	"REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION"	"3/30"	"13/7434"	0.230769230769231	57.1846153846154	12.9052779088298	1.65083607275817e-05	0.000223497806773414	0.000144364612030674	"SERPIND1/SERPINC1/SERPING1"	3	1	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS"	"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS"	"11/30"	"76/7434"	0.144736842105263	35.8657894736842	19.446251427089	2.81662636437792e-15	4.95726240130515e-13	3.20205944581911e-13	"ITIH2/ALB/TF/AFP/APOA1/C3/SERPIND1/APOE/PLG/SERPINC1/FN1"	11	1	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE"	"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE"	"3/30"	"21/7434"	0.142857142857143	35.4	10.0480220306047	7.51135836178166e-05	0.00073444392870754	0.000474401580744105	"SERPIND1/SERPINC1/SERPING1"	3	1	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2"	"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2"	"8/30"	"96/7434"	0.0833333333333333	20.65	12.3344220935913	2.66768521458546e-09	1.88603211240287e-07	1.21825040753296e-07	"ALB/TF/ITIH4/APOA1/PLG/SERPING1/THBS1/FN1"	8	1	"ITIH2_FORALL_010"	"NMF6"	"high"
"REACTOME_SIGNALING_BY_PDGF"	"REACTOME_SIGNALING_BY_PDGF"	"3/30"	"44/7434"	0.0681818181818182	16.8954545454545	6.73110800661016	0.000702570584057107	0.00537619229539352	0.00347266009511064	"PLG/COL6A1/THBS1"	3	1	"ITIH2_FORALL_010"	"NMF6"	"high"
