"V1"	"V2"	"gene_symbol1"	"gene_symbol2"
"112"	"ENSG00000002822"	"ENSG00000078114"	"NEBL"	"MAD1L1"
"113"	"ENSG00000002822"	"ENSG00000083535"	"PIBF1"	"MAD1L1"
"114"	"ENSG00000002822"	"ENSG00000088727"	"MAD1L1"	"KIF9"
"115"	"ENSG00000002822"	"ENSG00000101004"	"NINL"	"MAD1L1"
"116"	"ENSG00000002822"	"ENSG00000103528"	"SYT17"	"MAD1L1"
"117"	"ENSG00000002822"	"ENSG00000105248"	"YJU2"	"MAD1L1"
"118"	"ENSG00000002822"	"ENSG00000105401"	"MAD1L1"	"CDC37"
"119"	"ENSG00000002822"	"ENSG00000105617"	"MAD1L1"	"LENG1"
"120"	"ENSG00000002822"	"ENSG00000112130"	"RNF8"	"MAD1L1"
"121"	"ENSG00000002822"	"ENSG00000114019"	"MAD1L1"	"AMOTL2"
"122"	"ENSG00000002822"	"ENSG00000117266"	"MAD1L1"	"CDK18"
"123"	"ENSG00000002822"	"ENSG00000119862"	"MAD1L1"	"LGALSL"
"124"	"ENSG00000002822"	"ENSG00000120498"	"TEX11"	"MAD1L1"
"125"	"ENSG00000002822"	"ENSG00000121297"	"TSHZ3"	"MAD1L1"
"126"	"ENSG00000002822"	"ENSG00000129084"	"PSMA1"	"MAD1L1"
"127"	"ENSG00000002822"	"ENSG00000131375"	"MAD1L1"	"CAPN7"
"128"	"ENSG00000002822"	"ENSG00000134207"	"SYT6"	"MAD1L1"
"129"	"ENSG00000002822"	"ENSG00000135655"	"USP15"	"MAD1L1"
"130"	"ENSG00000002822"	"ENSG00000135951"	"TSGA10"	"MAD1L1"
"131"	"ENSG00000002822"	"ENSG00000137699"	"TRIM29"	"MAD1L1"
"132"	"ENSG00000002822"	"ENSG00000137822"	"TUBGCP4"	"MAD1L1"
"133"	"ENSG00000002822"	"ENSG00000140259"	"MFAP1"	"MAD1L1"
"134"	"ENSG00000002822"	"ENSG00000140416"	"TPM1"	"MAD1L1"
"135"	"ENSG00000002822"	"ENSG00000140987"	"ZSCAN32"	"MAD1L1"
"136"	"ENSG00000002822"	"ENSG00000141013"	"MAD1L1"	"GAS8"
"137"	"ENSG00000002822"	"ENSG00000143549"	"TPM3"	"MAD1L1"
"138"	"ENSG00000002822"	"ENSG00000146112"	"PPP1R18"	"MAD1L1"
"139"	"ENSG00000002822"	"ENSG00000147140"	"NONO"	"MAD1L1"
"140"	"ENSG00000002822"	"ENSG00000152240"	"MAD1L1"	"HAUS1"
"141"	"ENSG00000002822"	"ENSG00000152404"	"MAD1L1"	"CWF19L2"
"142"	"ENSG00000002822"	"ENSG00000156795"	"NTAQ1"	"MAD1L1"
"143"	"ENSG00000002822"	"ENSG00000157514"	"TSC22D3"	"MAD1L1"
"144"	"ENSG00000002822"	"ENSG00000158480"	"SPATA2"	"MAD1L1"
"145"	"ENSG00000002822"	"ENSG00000163071"	"SPATA18"	"MAD1L1"
"146"	"ENSG00000002822"	"ENSG00000164109"	"MAD2L1"	"MAD1L1"
"147"	"ENSG00000002822"	"ENSG00000166170"	"MAD1L1"	"BAG5"
"148"	"ENSG00000002822"	"ENSG00000166407"	"MAD1L1"	"LMO1"
