"SymbolA"	"SymbolB"
"238"	"NOP2"	"EBNA1BP2"
"239"	"RPL17"	"EBNA1BP2"
"240"	"EBNA1BP2"	"BRIX1"
"241"	"RPL15"	"EBNA1BP2"
"242"	"RBM28"	"EBNA1BP2"
"243"	"RPL28"	"EBNA1BP2"
"244"	"RPS9"	"EBNA1BP2"
"245"	"RPL18A"	"EBNA1BP2"
"246"	"TPM2"	"EBNA1BP2"
"247"	"RPL7A"	"EBNA1BP2"
"248"	"RPL13"	"EBNA1BP2"
"249"	"SRSF5"	"EBNA1BP2"
"250"	"SRSF4"	"EBNA1BP2"
"251"	"RPL27A"	"EBNA1BP2"
"252"	"RPL36"	"EBNA1BP2"
"253"	"RPL30"	"EBNA1BP2"
"254"	"RPL13A"	"EBNA1BP2"
"255"	"HSPA8"	"FKSG43"
"256"	"C20orf96"	"C1orf222"
"257"	"HTR1E"	"ATP5B"
"258"	"INHA"	"HSPA5"
"259"	"PDIA3"	"INHA"
"260"	"INHA"	"CALR"
"261"	"INHA"	"IKBKG"
"262"	"MAB21L1"	"LMX1B"
"263"	"POTEF"	"LMX1B"
"264"	"LMX1B"	"ACTB"
"265"	"PKNOX2"	"LMX1B"
"266"	"PARS2"	"LMX1B"
"267"	"LMX1B"	"LDB1"
"268"	"PBX1"	"LMX1B"
"269"	"PBX2"	"LMX1B"
"270"	"PBX3"	"LMX1B"
"271"	"MEIS1"	"LMX1B"
"272"	"MEIS2"	"LMX1B"
"273"	"SSBP2"	"LMX1B"
"274"	"SSBP4"	"LMX1B"
"275"	"SSBP3"	"LMX1B"
"276"	"NXF5"	"HSPA8"
"277"	"NXF5"	"ACTBL2"
"278"	"YWHAG"	"CDCA7"
"279"	"YWHAZ"	"CDCA7"
"280"	"POLE2"	"POLE"
"281"	"POPDC2"	"ANK2"
"282"	"TPCN1"	"POPDC2"
"283"	"POPDC2"	"ANO6"
"284"	"SLC12A9"	"POPDC2"
"285"	"RHBDD3"	"POPDC2"
"286"	"POPDC2"	"LRRC8C"
"287"	"PSRC1"	"PRMT2"
"288"	"RAE1"	"NUP98"
"289"	"RAE1"	"AGGF1"
"290"	"RAE1"	"PRIM2"
"291"	"RAE1"	"NUPL2"
"292"	"RAE1"	"BUB1B"
"293"	"RAE1"	"PRIM1"
"294"	"RIC3"	"PHB"
"295"	"RIC3"	"ERLIN2"
"296"	"RIC3"	"NCAPG2"
"297"	"RIC3"	"DNAJC11"
"298"	"RIC3"	"NCAPD3"
"299"	"USP22"	"RIC3"
"300"	"RIC3"	"HMGCR"
"301"	"RIC3"	"PHB2"
"302"	"SLC30A5"	"RIC3"
"303"	"RMND1"	"RIC3"
"304"	"TAPT1"	"RIC3"
"305"	"RIC3"	"NCAPH2"
"306"	"TMUB1"	"RIC3"
"307"	"RIC3"	"LRBA"
"308"	"SLC30A6"	"RIC3"
"309"	"RIC3"	"ATP9A"
"310"	"CXCR7"	"ATP5B"
"311"	"CXCR7"	"ATP5A1"
"312"	"CXCR7"	"ATP5D"
"313"	"CXCR7"	"ATP5O"
"314"	"TSSK1B"	"HSPA8"
"315"	"TSSK1B"	"AZI1"
"316"	"TSSK1B"	"GPHN"
"317"	"TSSK1B"	"CRYBG3"
"318"	"TSSK1B"	"GAPVD1"
"319"	"TSSK1B"	"SNX24"
"320"	"USP46"	"PHLPP1"
"321"	"WDR20"	"USP46"
"322"	"USP46"	"DMWD"
"323"	"WDR48"	"USP46"
"324"	"USP46"	"SNX6"
"325"	"USP46"	"SNX2"
"326"	"USP46"	"PHLPP2"
"327"	"VSX1"	"CSNK2A2"
"328"	"VSX1"	"CSNK2A1"
"329"	"VSX1"	"CSNK2B"
"330"	"VSX1"	"USP12"
"331"	"VSX1"	"HIST2H2AC"
"332"	"TOMM7"	"AMY2A"
"333"	"TOMM7"	"TOMM40L"
"334"	"ATPIF1"	"ATP5ME"
"335"	"ATP5ME"	"ATP5C1"
"336"	"ATP5ME"	"ATP5B"
"337"	"ATP5ME"	"ATP5H"
"338"	"ATP5ME"	"ATP5D"
"339"	"ATP5ME"	"ATP5A1"
"340"	"ATP5ME"	"ATP5F1"
"341"	"DNAJC28"	"ATP5ME"
"342"	"ATP5ME"	"ATP5J"
"343"	"SLC19A2"	"ATP5ME"
"344"	"ATP5ME"	"ATP5L"
"345"	"ATP5O"	"ATP5ME"
"346"	"LASS2"	"ATP5ME"
"347"	"ATP8"	"ATP5ME"
"348"	"PLS1"	"MT2A"
"349"	"PTER"	"MT2A"
"350"	"PCDHGA5"	"MT2A"
"351"	"MTCP1NB"	"GFER"
"352"	"PITRM1"	"NBR2"
"353"	"NBR2"	"GMIP"
"354"	"NBR2"	"EIF2C4"
"355"	"NDUFB1"	"NDUFA1"
"356"	"NDUFV2"	"NDUFA1"
"357"	"NDUFV3"	"NDUFA1"
"358"	"NDUFA1"	"ND4"
"359"	"NDUFA7"	"NDUFA1"
"360"	"NDUFB9"	"NDUFA1"
"361"	"NDUFA3"	"NDUFA1"
"362"	"NDUFB8"	"NDUFA1"
"363"	"NDUFS4"	"NDUFA1"
"364"	"NDUFA9"	"NDUFA1"
"365"	"NDUFA12"	"NDUFA1"
"366"	"NDUFV1"	"NDUFA1"
"367"	"NDUFB3"	"NDUFA1"
"368"	"NDUFC2"	"NDUFA1"
"369"	"NDUFA1"	"ND5"
